DATE,TMAX,TMIN,TAVG,RAIN,SNOW
3/20/2023,53.6,45,49.6,0.008,0
3/21/2023,55.1,45.5,48.6,1.06,0
3/22/2023,57.3,47.1,50.9,0.357,0
3/23/2023,55,46.6,50.2,0.004,0
3/24/2023,56.9,42.1,48.1,0,0
3/25/2023,56.2,40.2,47.3,0,0
3/26/2023,54.4,39.4,46.6,0,0
3/27/2023,57.4,42.1,48.2,0.012,0
3/28/2023,50.8,46.8,48.3,0.785,0
3/29/2023,51.8,44.1,47.6,0.643,0
3/30/2023,53.4,40.2,47,0,0
3/31/2023,55.6,42.9,49,0,0
4/1/2023,56.9,44.5,50.3,0,0
4/2/2023,54.9,46.4,50.4,0,0
4/3/2023,53.4,41.4,46.8,0.004,0
4/4/2023,54.3,39.4,46.6,0,0
4/5/2023,56.1,40.1,47.6,0,0
4/6/2023,57.7,42.4,49.5,0.032,0
4/7/2023,56.4,47.8,52,0.361,0
4/8/2023,59.2,46.9,51.8,0,0
4/9/2023,65.6,46.7,55,0,0
4/10/2023,63.7,48.1,55,0,0
4/11/2023,60.6,47,54,0,0
4/12/2023,57.1,44.3,50.1,0,0
4/13/2023,59.7,42.4,50.8,0,0
4/14/2023,56.9,43.5,49.8,0,0
4/15/2023,55.4,44.2,48.9,0,0
4/16/2023,56.7,42.7,49.8,0,0
4/17/2023,54.9,46.6,50.5,0.032,0
4/18/2023,55.3,43.8,49.9,0.028,0
4/19/2023,59.2,44.2,51.1,0,0
4/20/2023,63.7,43,53.5,0,0
4/21/2023,69.8,47.1,58.8,0,0
4/22/2023,69,51,58.8,0,0
4/23/2023,65,50.6,56.5,0,0
4/24/2023,66.4,46.9,55.2,0,0
4/25/2023,68.6,47,56,0,0
4/26/2023,70.5,47.3,57.7,0,0
4/27/2023,75.4,49.1,59.7,0,0
4/28/2023,67.2,48.1,55.8,0,0
4/29/2023,61.7,48.3,53.2,0,0
4/30/2023,60,49.1,53.7,0,0
5/1/2023,55.4,49.3,51.9,0.008,0
5/2/2023,58,47.9,52.5,0.139,0
5/3/2023,58.9,50,54.2,0.572,0
5/4/2023,57.5,47.2,52.1,0,0
5/5/2023,59.4,47.9,53.1,0.012,0
5/6/2023,58.4,49.2,53.8,0.1,0
5/7/2023,59,48.9,53.5,0,0
5/8/2023,59,48.8,53.8,0.072,0
5/9/2023,60.8,48.9,54.6,0,0
5/10/2023,58.5,49.1,53.7,0,0
5/11/2023,62.6,49.3,54.9,0,0
5/12/2023,67,50.9,57.6,0,0
5/13/2023,75.3,52.9,62,0,0
5/14/2023,69.2,52.8,60.1,0,0
5/15/2023,67.2,53.4,58.5,0,0
5/16/2023,70.7,51.8,59.4,0,0
5/17/2023,65.8,51.7,57.1,0,0
5/18/2023,65.1,51.6,57.2,0,0
5/19/2023,63.2,51.8,56.7,0,0
5/20/2023,61.4,51.2,55.1,0,0
5/21/2023,67.1,51.2,57.5,0,0
5/22/2023,69.8,52.2,59.3,0,0
5/23/2023,63.8,51.7,56.7,0,0
5/24/2023,63.2,50.9,56.1,0,0
5/25/2023,62.5,51.8,56,0,0
5/26/2023,62.6,51.8,55.7,0,0
5/27/2023,61.7,51.8,55.4,0.004,0
5/28/2023,60.9,52.2,55.5,0.004,0
5/29/2023,63.5,52.6,57,0,0
5/30/2023,62.7,53.1,56.4,0,0
5/31/2023,63.5,52.1,56.4,0,0
6/1/2023,67.2,51.2,58.4,0,0
6/2/2023,69.4,51.3,59.2,0,0
6/3/2023,71,51.5,60.2,0,0
6/4/2023,68.9,52.7,59.5,0,0
6/5/2023,63.7,52.2,57.6,0,0
6/6/2023,68.2,55.3,59.7,0.004,0
6/7/2023,65.2,55.6,59.2,0.004,0
6/8/2023,66.2,53.7,59.5,0,0
6/9/2023,61.1,52.8,56.1,0,0
6/10/2023,63.2,51.4,56.2,0,0
6/11/2023,66.1,52.8,57.8,0,0
6/12/2023,65.3,54.5,58.7,0.016,0
6/13/2023,64.4,54,57.8,0,0
6/14/2023,66.9,53.6,58.4,0,0
6/15/2023,68.1,53.8,59.8,0,0
6/16/2023,67.2,53.7,59.6,0,0
6/17/2023,67,53.1,59.1,0,0
6/18/2023,70.6,54.3,60.4,0,0
6/19/2023,66.1,51.7,58.5,0,0
6/20/2023,68.8,50.5,59.5,0,0
6/21/2023,68.7,50.9,58.7,0,0
6/22/2023,64.2,52.6,57.6,0,0
6/23/2023,65.3,54.5,58.3,0.004,0
6/24/2023,63.7,52.3,56.9,0,0
6/25/2023,63,53,56.9,0,0
6/26/2023,64,53.3,57.7,0,0
6/27/2023,63.1,52.4,56.9,0,0
6/28/2023,63.1,51.4,56.4,0,0
6/29/2023,69.1,52.4,59.4,0,0
6/30/2023,73.9,53.6,61.7,0,0
7/1/2023,79,54.3,65.2,0,0
7/2/2023,76.9,56,65.4,0,0
7/3/2023,68.8,55.2,61.1,0,0
7/4/2023,66.4,52.2,57.9,0,0
7/5/2023,65.8,53,58.1,0,0
7/6/2023,64,53.7,57.4,0,0
7/7/2023,64.2,53.5,57.9,0,0
7/8/2023,66.2,52.6,57.9,0,0
7/9/2023,63.7,51.9,57.1,0,0
7/10/2023,68.4,53.1,59.5,0,0
7/11/2023,72.5,53.1,60.6,0,0
7/12/2023,68.3,53.1,60.1,0,0
7/13/2023,73,55.2,61.8,0,0
7/14/2023,71.8,53.2,60.6,0,0
7/15/2023,74,55,62.9,0,0
7/16/2023,76.3,56.1,64.4,0,0
7/17/2023,74.3,57.2,64.2,0,0
7/18/2023,68.6,55.7,60.7,0,0
7/19/2023,68,54.5,59.6,0,0
7/20/2023,74.2,55,62.6,0,0
7/21/2023,76.5,55.4,64.9,0,0
7/22/2023,79.3,55.7,66.6,0,0
7/23/2023,73.4,58.9,64.6,0,0
7/24/2023,72.8,54.8,62.8,0,0
7/25/2023,74.3,56.7,64.2,0,0
7/26/2023,69.2,55.8,61.2,0,0
7/27/2023,69.3,55.4,61.3,0,0
7/28/2023,72.1,54.8,61.8,0,0
7/29/2023,70.9,55.2,61.8,0,0
7/30/2023,72.7,55.4,62.3,0,0
7/31/2023,71.2,55.4,61.9,0,0
8/1/2023,66.1,54.9,59.5,0,0
8/2/2023,68,55.4,60,0,0
8/3/2023,67.7,56.2,60.7,0,0
8/4/2023,71.4,56,62.2,0,0
8/5/2023,76.2,56.8,64.8,0,0
8/6/2023,81.1,58.1,68.4,0,0
8/7/2023,79.9,58.7,67.2,0,0
8/8/2023,66.8,57,60.4,0,0
8/9/2023,69.2,56.3,60.4,0,0
8/10/2023,68.5,57,60.9,0,0
8/11/2023,70,57.1,61.6,0,0
8/12/2023,73.7,56.3,62.8,0,0
8/13/2023,74,55.8,62.4,0,0
8/14/2023,75.2,56.8,63.8,0,0
8/15/2023,73.1,56.3,63.2,0,0
8/16/2023,73.2,57.2,63,0,0
8/17/2023,72.1,57.5,62.8,0,0
8/18/2023,72.2,57.9,63,0,0
8/19/2023,70.3,57,62.1,0,0
8/20/2023,79.2,57.3,67.1,0,0
8/21/2023,73.1,60.9,67.1,0.067,0
8/22/2023,76.1,62.3,67.3,0,0
8/23/2023,83.3,60.5,70.3,0,0
8/24/2023,77.3,62.2,69,0,0
8/25/2023,70.3,59,63.1,0,0
8/26/2023,71.2,58.1,63.4,0,0
8/27/2023,74.3,56.7,64.8,0,0
8/28/2023,77.4,56.2,65.5,0,0
8/29/2023,80.2,56.3,67.4,0,0
8/30/2023,83.3,56.3,69.2,0,0
8/31/2023,72.3,57.8,64.2,0,0
9/1/2023,67,59.2,62.3,0.024,0
9/2/2023,70.7,60,64.2,0.004,0
9/3/2023,68.9,56.3,NaN,NaN,NaN
9/4/2023,NaN,NaN,NaN,NaN,NaN
9/5/2023,NaN,NaN,NaN,NaN,NaN
